Date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2023-01-16 01:00:00,20967.6,20976.9,20904.2,20945.0,356.085,7457745.2609,82,164.531,3446651.1599
2023-01-16 01:05:00,20947.5,21212.0,20942.9,21120.2,1285.507,27077336.13,414,777.21,16363055.8374
2023-01-16 01:10:00,21125.8,21201.9,21044.8,21189.3,830.043,17541243.5717,208,426.818,9018834.1389
2023-01-16 01:15:00,21182.4,21300.0,21118.2,21224.2,1006.073,21369127.9906,347,608.534,12931769.3978
2023-01-16 01:20:00,21234.2,21238.1,21000.0,21093.0,743.929,15707048.9965,176,273.932,5783099.105
2023-01-16 01:25:00,21090.9,21127.1,21044.1,21127.1,1260.073,26577390.8842,138,647.085,13652635.8504
2023-01-16 01:30:00,21126.5,21130.9,21044.1,21108.7,749.938,15824793.7287,128,388.838,8205549.633
2023-01-16 01:35:00,21103.1,21129.5,21097.4,21107.8,955.566,20173876.8417,105,439.681,9282601.4086
2023-01-16 01:40:00,21108.3,21134.7,21094.0,21125.9,949.651,20052196.6106,97,498.472,10526428.4768
2023-01-16 01:45:00,21129.1,21177.1,21113.0,21168.1,986.671,20854434.6249,106,541.514,11445973.3518
2023-01-16 01:50:00,21167.9,21198.4,21141.0,21197.2,4318.678,91338895.8576,184,4064.303,85960307.0614
2023-01-16 01:55:00,21198.4,21203.3,21158.9,21192.6,857.816,18164134.09,101,406.013,8597237.1914
2023-01-16 02:00:00,21187.8,21192.6,21136.3,21146.7,791.459,16748561.2232,111,378.648,8014154.3457
2023-01-16 02:05:00,21144.2,21172.1,21111.0,21161.2,1102.756,23330660.0405,108,590.099,12486528.1608
2023-01-16 02:10:00,21161.2,21165.3,21133.5,21158.2,590.461,12492079.978,96,404.24,8552180.4801
2023-01-16 02:15:00,21155.7,21300.0,21147.6,21246.5,919.158,19507439.2387,228,609.818,12947494.8049
2023-01-16 02:20:00,21245.6,21443.7,21235.6,21414.7,1472.946,31410346.0994,421,1029.529,21944253.1219
2023-01-16 02:25:00,21398.6,21398.6,21160.0,21364.0,983.697,20985866.2076,243,422.637,9017859.9636
2023-01-16 02:30:00,21356.0,21363.1,21224.4,21286.4,1261.956,26873637.2768,171,471.918,10048727.4703
2023-01-16 02:35:00,21285.1,21295.8,21251.7,21268.5,1090.157,23190307.7798,116,471.717,10034564.9132
2023-01-16 02:40:00,21271.2,21282.5,21251.7,21282.5,1179.123,25078233.7515,149,620.363,13195612.367
2023-01-16 02:45:00,21281.2,21281.2,21175.0,21222.0,722.229,15335864.7724,140,316.103,6710593.0026
2023-01-16 02:50:00,21225.9,21233.4,21204.9,21213.5,584.121,12396648.6825,80,272.928,5793200.0269
2023-01-16 02:55:00,21215.6,21229.4,21205.4,21222.1,549.626,11660910.9298,72,157.264,3336943.2743
